,0
0,000
1,10
2,11
3,2016
4,about
5,about the
6,according
7,according to
8,across
9,act
10,actually
11,administration
12,after
13,after the
14,again
15,against
16,ago
17,all
18,all of
19,all the
20,already
21,also
22,america
23,american
24,americans
25,among
26,an
27,and
28,and it
29,and that
30,and the
31,another
32,anti
33,any
34,are
35,around
36,as
37,as the
38,as well
39,asked
40,at
41,at least
42,at the
43,attack
44,attacks
45,away
46,back
47,based
48,be
49,because
50,become
51,been
52,before
53,being
54,believe
55,best
56,better
57,between
58,big
59,bill
60,black
61,both
62,bush
63,business
64,but
65,but the
66,by
67,by the
68,call
69,called
70,came
71,campaign
72,can
73,candidate
74,candidates
75,care
76,case
77,change
78,children
79,city
80,clear
81,clinton
82,cnn
83,com
84,come
85,committee
86,congress
87,conservative
88,control
89,could
90,countries
91,country
92,course
93,court
94,cruz
95,day
96,days
97,deal
98,debate
99,democratic
100,democrats
101,department
102,did
103,did not
104,didn
105,different
106,do
107,does
108,doesn
109,doing
110,don
111,donald
112,donald trump
113,down
114,during
115,each
116,early
117,economic
118,election
119,email
120,emails
121,end
122,enough
123,even
124,ever
125,every
126,evidence
127,fact
128,family
129,far
130,fbi
131,federal
132,few
133,find
134,first
135,florida
136,for
137,for the
138,force
139,forces
140,foreign
141,former
142,found
143,four
144,fox
145,free
146,from
147,from the
148,general
149,get
150,give
151,given
152,go
153,going
154,going to
155,good
156,gop
157,got
158,government
159,great
160,group
161,had
162,has
163,has been
164,have
165,have been
166,have to
167,he
168,he has
169,he is
170,he said
171,he was
172,health
173,help
174,her
175,here
176,high
177,hillary
178,hillary clinton
179,him
180,his
181,history
182,home
183,house
184,how
185,however
186,if
187,if you
188,important
189,in
190,in an
191,in his
192,in the
193,in this
194,including
195,information
196,into
197,into the
198,investigation
199,iowa
200,iran
201,iraq
202,is
203,is not
204,is that
205,is the
206,isis
207,issue
208,issues
209,it
210,it is
211,it was
212,its
213,john
214,just
215,justice
216,keep
217,know
218,last
219,later
220,law
221,leaders
222,least
223,left
224,less
225,let
226,life
227,like
228,likely
229,little
230,ll
231,long
232,look
233,lot
234,made
235,major
236,make
237,making
238,man
239,many
240,matter
241,may
242,me
243,media
244,members
245,middle
246,might
247,military
248,million
249,money
250,months
251,more
252,more than
253,most
254,much
255,must
256,my
257,nation
258,national
259,need
260,need to
261,never
262,new
263,new york
264,news
265,next
266,night
267,no
268,nominee
269,not
270,nothing
271,november
272,now
273,nuclear
274,number
275,obama
276,october
277,of
278,of his
279,of the
280,of this
281,off
282,office
283,officials
284,old
285,on
286,on the
287,once
288,one
289,one of
290,only
291,or
292,order
293,other
294,others
295,our
296,out
297,out of
298,over
299,over the
300,own
301,part
302,part of
303,party
304,past
305,paul
306,people
307,percent
308,person
309,place
310,plan
311,point
312,police
313,policy
314,political
315,politics
316,polls
317,post
318,power
319,president
320,presidential
321,press
322,primary
323,private
324,process
325,public
326,put
327,question
328,race
329,re
330,real
331,really
332,recent
333,report
334,reported
335,republican
336,republicans
337,right
338,rights
339,rubio
340,run
341,russia
342,russian
343,said
344,said he
345,said that
346,said the
347,same
348,sanders
349,say
350,saying
351,says
352,second
353,secretary
354,security
355,see
356,seen
357,sen
358,senate
359,several
360,she
361,should
362,show
363,since
364,so
365,social
366,some
367,something
368,south
369,speech
370,state
371,statement
372,states
373,still
374,such
375,support
376,supporters
377,syria
378,system
379,take
380,tax
381,than
382,that
383,that he
384,that is
385,that it
386,that the
387,that they
388,that we
389,the american
390,the clinton
391,the country
392,the democratic
393,the fbi
394,the first
395,the government
396,the most
397,the new
398,the president
399,the republican
400,the same
401,the state
402,the united
403,the us
404,the white
405,the world
406,their
407,them
408,then
409,there
410,there are
411,there is
412,these
413,they
414,they are
415,they re
416,thing
417,things
418,think
419,this
420,this is
421,those
422,though
423,three
424,through
425,thursday
426,time
427,times
428,to be
429,to do
430,to get
431,to have
432,to make
433,to the
434,today
435,told
436,too
437,took
438,top
439,trump
440,tuesday
441,two
442,under
443,united
444,united states
445,university
446,until
447,up
448,us
449,use
450,used
451,ve
452,very
453,vote
454,voters
455,voting
456,want
457,want to
458,war
459,was
460,washington
461,way
462,we
463,we are
464,we have
465,we re
466,wednesday
467,week
468,well
469,were
470,what
471,when
472,where
473,whether
474,which
475,while
476,white
477,white house
478,who
479,why
480,will
481,will be
482,win
483,with
484,with the
485,without
486,women
487,won
488,work
489,working
490,world
491,would
492,would be
493,year
494,years
495,yet
496,york
497,you
498,you can
499,your
